SITEID,MONTH,TYPE,VALUE,
USS0014F03S,20150101,TMIN,-138,
USS0014F03S,20150101,TOBS,-98,
USS0014F03S,20150101,PRCP,25,
USS0014F03S,20150101,SNWD,940,
USS0014F03S,20150101,TAVG,-85,
USS0014F03S,20150101,WESD,2210,
CA002201903,20150101,TMAX,-250,
CA002201903,20150101,TMIN,-320,
CA002201903,20150101,PRCP,0,
CA002201903,20150101,SNWD,260,
CA002201903,20150101,TAVG,-296,
USS0014C04S,20150101,TMAX,-74,
USS0014C04S,20150101,TMIN,-153,
USS0014C04S,20150101,TOBS,-119,
USS0014C04S,20150101,PRCP,25,
USS0014C04S,20150101,SNWD,1219,
USS0014C04S,20150101,TAVG,-119,
USS0014C04S,20150101,WESD,2921,
USS0011G06S,20150101,TMAX,-12,
USS0011G06S,20150101,TMIN,-155,
USS0011G06S,20150101,TOBS,-122,
USS0011G06S,20150101,PRCP,0,
USS0011G06S,20150101,SNWD,787,
USS0011G06S,20150101,TAVG,-107,
USS0011G06S,20150101,WESD,2108,
USS0013D26S,20150101,TMAX,-115,
USS0013D26S,20150101,TMIN,-221,
USS0013D26S,20150101,TOBS,-168,
USS0013D26S,20150101,PRCP,25,
USS0013D26S,20150101,SNWD,660,
USS0013D26S,20150101,TAVG,-175,
USS0013D26S,20150101,WESD,1372,
USS0011G01S,20150101,TMAX,-55,
USS0011G01S,20150101,TMIN,-175,
USS0011G01S,20150101,TOBS,-146,
USS0011G01S,20150101,PRCP,0,
USS0011G01S,20150101,SNWD,762,
USS0011G01S,20150101,TAVG,-128,
USS0011G01S,20150101,WESD,1626,
US1CASA0045,20150101,PRCP,0,
US1CASA0045,20150101,SNOW,0,
USS0006J03S,20150101,TMAX,-41,
USS0006J03S,20150101,TMIN,-165,
USS0006J03S,20150101,TOBS,-122,
USS0006J03S,20150101,PRCP,25,
USS0006J03S,20150101,SNWD,991,
USS0006J03S,20150101,TAVG,-112,
USS0006J03S,20150101,WESD,2565,
USS0008M07S,20150101,TMAX,-22,
USS0008M07S,20150101,TMIN,-184,
USS0008M07S,20150101,TOBS,-173,
USS0008M07S,20150101,PRCP,0,
USS0008M07S,20150101,SNWD,711,
USS0008M07S,20150101,TAVG,-83,
USS0008M07S,20150101,WESD,1524,
USR0000TLEW,20150101,TMAX,39,
USR0000TLEW,20150101,TMIN,-39,
USR0000TLEW,20150101,TAVG,11,
USR0000TSBS,20150101,TMAX,78,
USR0000TSBS,20150101,TMIN,28,
USR0000TSBS,20150101,TAVG,48,
USR0000CFIV,20150101,TMAX,72,
USR0000CFIV,20150101,TMIN,6,
USR0000CFIV,20150101,TAVG,32,
USR0000CHAS,20150101,TMAX,122,
USR0000CHAS,20150101,TMIN,0,
USR0000CHAS,20150101,TAVG,53,
USR0000MMAR,20150101,TMAX,100,
USR0000MMAR,20150101,TMIN,17,
USR0000MMAR,20150101,TAVG,67,
USR0000AHOW,20150101,TMAX,-51,
USR0000AHOW,20150101,TMIN,-99,
USR0000AHOW,20150101,TAVG,-69,
USR0000ABRO,20150101,TMAX,6,
USR0000ABRO,20150101,TMIN,-33,
USR0000ABRO,20150101,TAVG,-10,
US1CALA0031,20150101,PRCP,0,
US1CALA0031,20150101,SNOW,0,
CA001107010,20150101,TMAX,50,
CA001107010,20150101,TMIN,2,
USC00509314,20150101,TMAX,-61,1630
USC00509314,20150101,TMIN,-183,1630
USC00509314,20150101,TOBS,-61,1630
USC00509314,20150101,PRCP,25,1630
USC00509314,20150101,SNOW,97,
USC00509314,20150101,SNWD,381,1630
US1CAAL0004,20150101,PRCP,0,
US1CAAL0004,20150101,SNOW,0,
US1CAIN0001,20150101,PRCP,0,
US1CAIN0001,20150101,SNOW,0,
US1CAKN0020,20150101,PRCP,0,
US1CAKN0020,20150101,SNOW,0,
US1AZPM0214,20150101,PRCP,102,
US1CAHM0054,20150101,PRCP,0,
US1CAHM0054,20150101,SNOW,0,
US1AZMR0082,20150101,PRCP,51,
USC00477118,20150101,PRCP,13,2230
USC00477118,20150101,SNOW,15,
USC00477118,20150101,SNWD,381,2230
USC00470645,20150101,TMAX,-83,800
USC00470645,20150101,TMIN,-178,800
USC00470645,20150101,TOBS,-94,800
USC00470645,20150101,PRCP,0,800
USC00470645,20150101,SNOW,0,
USC00470645,20150101,SNWD,0,800
USC00455704,20150101,TMAX,0,800
USC00455704,20150101,TMIN,-61,800
USC00455704,20150101,TOBS,-44,800
BXM00096315,20150101,TMAX,280,
BXM00096315,20150101,TMIN,232,
BXM00096315,20150101,PRCP,71,
BXM00096315,20150101,TAVG,256,
USC00421168,20150101,TMAX,-78,800
USC00421168,20150101,TMIN,-111,800
USC00421168,20150101,TOBS,-83,800
USC00421168,20150101,PRCP,8,800
USC00421168,20150101,SNOW,38,
USC00421168,20150101,SNWD,51,800
USC00426568,20150101,TMAX,-139,1600
USC00426568,20150101,TMIN,-256,1600
USC00426568,20150101,PRCP,0,1600
USC00426568,20150101,SNOW,0,
USC00426568,20150101,SNWD,0,1600
USC00419361,20150101,TMAX,72,800
USC00419361,20150101,TMIN,50,800
USC00419361,20150101,TOBS,50,800
USC00419361,20150101,PRCP,0,800
USC00419361,20150101,SNOW,0,
USC00419361,20150101,SNWD,0,
USC00419361,20150101,SN52,167,800
USC00419361,20150101,SX52,178,800
USC00412238,20150101,TMAX,-72,630
USC00412238,20150101,TMIN,-161,630
USC00412238,20150101,TOBS,-78,630
USC00412238,20150101,PRCP,0,630
USC00412238,20150101,SNWD,51,
US10lanc013,20150101,PRCP,0,
USC00385633,20150101,TMAX,106,1700
USC00385633,20150101,TMIN,-28,1700
USC00385633,20150101,TOBS,83,1700
USC00385633,20150101,PRCP,0,1700
USC00363028,20150101,TMAX,-50,700
USC00363028,20150101,TMIN,-89,700
USC00363028,20150101,TOBS,-78,700
USC00363028,20150101,PRCP,0,700
USC00363028,20150101,SNOW,0,
USC00363028,20150101,SNWD,0,700
USC00358466,20150101,TMAX,28,800
USC00358466,20150101,TMIN,-78,800
USC00358466,20150101,TOBS,-11,800
USC00358466,20150101,PRCP,0,800
USC00358466,20150101,SNOW,0,
USC00358466,20150101,SNWD,0,
ASN00060095,20150101,PRCP,0,
USC00348900,20150101,TMAX,11,2400
USC00348900,20150101,TMIN,-22,2400
USC00348900,20150101,SN32,17,2400
USC00348900,20150101,SX32,28,2400
USC00349404,20150101,TMAX,-22,700
USC00349404,20150101,TMIN,-128,700
USC00349404,20150101,TOBS,-22,700
USC00349404,20150101,PRCP,0,700
USC00350265,20150101,TMAX,-33,800
USC00350265,20150101,TMIN,-111,800
USC00350265,20150101,TOBS,-106,800
USC00350265,20150101,PRCP,0,800
TS000060765,20150101,TAVG,57,
USC00355392,20150101,TMAX,-39,600
USC00355392,20150101,TMIN,-111,600
USC00355392,20150101,TOBS,-83,600
USC00355392,20150101,PRCP,0,600
TH000048565,20150101,TMAX,315,
TH000048565,20150101,TMIN,233,
TH000048565,20150101,TAVG,273,
USC00340027,20150101,TMAX,6,2400
USC00340027,20150101,TMIN,-28,2400
USC00340027,20150101,SN32,22,2400
USC00340027,20150101,SX32,39,2400
SWE00140492,20150101,TMAX,75,
SWE00140492,20150101,TMIN,21,
SWE00140492,20150101,PRCP,0,
SWE00140492,20150101,SNWD,80,
USC00331042,20150101,TMAX,-56,800
USC00331042,20150101,TMIN,-111,800
USC00331042,20150101,TOBS,-89,800
USC00331042,20150101,PRCP,0,800
USC00336949,20150101,TMAX,-44,
USC00336949,20150101,TMIN,-78,
USC00336949,20150101,TOBS,-67,
USC00336949,20150101,PRCP,0,700
USC00336949,20150101,SNOW,0,
USC00336949,20150101,SNWD,0,
USC00317344,20150101,TMAX,56,730
USC00317344,20150101,TMIN,-56,730
USC00317344,20150101,TOBS,-56,730
USC00317344,20150101,PRCP,0,730
USC00317344,20150101,SN32,22,730
USC00317344,20150101,SX32,44,730
SWE00140254,20150101,PRCP,5,
USC00322605,20150101,TMAX,-33,900
USC00322605,20150101,TMIN,-150,900
USC00322605,20150101,TOBS,-50,900
USC00314496,20150101,TMAX,-11,700
USC00314496,20150101,TMIN,-89,700
USC00314496,20150101,TOBS,-67,700
USC00314496,20150101,PRCP,0,700
USC00314496,20150101,SNOW,0,
USC00314496,20150101,SNWD,0,700
USC00310090,20150101,TMAX,72,700
USC00310090,20150101,TMIN,-50,700
USC00310090,20150101,PRCP,0,700
SWE00140128,20150101,PRCP,70,
ASN00056240,20150101,PRCP,0,
USC00294112,20150101,TMAX,-94,700
USC00294112,20150101,TMIN,-139,700
USC00294112,20150101,PRCP,0,700
USC00294112,20150101,SNOW,0,
USC00294112,20150101,SNWD,25,
USC00300317,20150101,TOBS,-89,
USC00300317,20150101,PRCP,71,600
USC00300317,20150101,SNOW,140,
USC00300317,20150101,SNWD,152,600
SWE00137628,20150101,TMAX,55,
SWE00137628,20150101,TMIN,40,
SWE00137628,20150101,PRCP,10,
SWE00137802,20150101,TMAX,57,
SWE00137802,20150101,TMIN,30,
SWE00137802,20150101,PRCP,30,
SWE00137802,20150101,SNWD,0,
USC00264698,20150101,TMAX,0,1800
USC00264698,20150101,TMIN,-167,1800
USC00264698,20150101,TOBS,-50,1800
USC00264698,20150101,PRCP,0,1800
USC00264698,20150101,SNOW,0,
SP000008410,20150101,TMAX,149,
SP000008410,20150101,TMIN,-26,
SP000008410,20150101,PRCP,0,
SP000008410,20150101,TAVG,44,
ASN00008296,20150101,TMAX,387,
ASN00008296,20150101,TMIN,186,
ASN00008296,20150101,PRCP,0,
USC00258806,20150101,TMAX,-44,700
USC00258806,20150101,TMIN,-183,700
USC00258806,20150101,TOBS,-117,700
USC00258806,20150101,PRCP,0,700
USC00258806,20150101,SNWD,127,700
ASN00026012,20150101,PRCP,0,
ASN00055322,20150101,PRCP,0,
USC00252690,20150101,PRCP,0,800
USC00252690,20150101,SNOW,0,
USC00252690,20150101,SNWD,51,800
ASN00004036,20150101,PRCP,0,
USC00248957,20150101,TMAX,-17,2000
USC00248957,20150101,TMIN,-83,2000
USC00248957,20150101,TOBS,-50,2000
USC00248957,20150101,PRCP,0,2000
RSM00034321,20150101,TMIN,-220,
RSM00034321,20150101,SNWD,211,
RSM00034321,20150101,TAVG,-116,
ASN00024580,20150101,TMAX,366,
ASN00024580,20150101,TMIN,112,
ASN00024580,20150101,PRCP,0,
ASN00024580,20150101,TAVG,254,
USC00219072,20150101,PRCP,0,600
USC00219072,20150101,SNOW,0,
USC00219072,20150101,SNWD,51,600
USC00219072,20150101,TMAX,-106,600
USC00219072,20150101,TMIN,-217,600
USC00219072,20150101,TOBS,-106,600
RSM00029866,20150101,TMAX,-10,
RSM00029866,20150101,PRCP,0,
RSM00029866,20150101,SNWD,30,
RSM00029866,20150101,TAVG,-114,
RSM00028367,20150101,SNWD,371,
RSM00028367,20150101,TAVG,-261,
RSM00023909,20150101,TMIN,-336,
RSM00023909,20150101,SNWD,269,
RSM00023909,20150101,TAVG,-308,
USC00166466,20150101,PRCP,0,800
RQW00011630,20150101,TMAX,294,2400
RQW00011630,20150101,TMIN,244,2400
RQW00011630,20150101,PRCP,0,2400
RQW00011630,20150101,AWND,38,
RQW00011630,20150101,PGTM,1235,
RQW00011630,20150101,WDF2,110,
RQW00011630,20150101,WDF5,110,
RQW00011630,20150101,WSF2,72,
RQW00011630,20150101,WSF5,94,
USC00146168,20150101,PRCP,0,700
USC00146168,20150101,SNOW,0,
USC00146168,20150101,SNWD,0,700
PLM00012205,20150101,TMAX,50,
PLM00012205,20150101,PRCP,5,
PLM00012205,20150101,TAVG,30,
NOE00132906,20150101,PRCP,0,
NOE00132906,20150101,SNWD,40,
NOE00109640,20150101,TMAX,78,
NOE00109640,20150101,TMIN,66,
NOE00109640,20150101,PRCP,156,
NOE00109640,20150101,SNWD,0,
USC00112745,20150101,TMAX,-78,700
USC00112745,20150101,TMIN,-189,700
USC00112745,20150101,TOBS,-111,700
USC00112745,20150101,PRCP,0,700
USC00112745,20150101,SNOW,0,
USC00112745,20150101,SNWD,0,700
NLE00109378,20150101,PRCP,41,
NLE00109378,20150101,SNWD,0,
NLE00109328,20150101,PRCP,37,
NLE00109328,20150101,SNWD,0,
USC00093060,20150101,TMAX,89,700
USC00093060,20150101,TMIN,-33,700
USC00093060,20150101,TOBS,-28,700
USC00093060,20150101,PRCP,0,700
USC00091266,20150101,TMAX,122,700
USC00091266,20150101,TMIN,17,700
USC00091266,20150101,TOBS,122,700
USC00091266,20150101,PRCP,0,700
USC00091266,20150101,SNOW,0,
USC00091266,20150101,SNWD,0,
NLE00101933,20150101,PRCP,39,
NLE00101933,20150101,SNWD,0,
NLE00109144,20150101,PRCP,58,
NLE00109144,20150101,SNWD,0,
USC00080414,20150101,TMAX,278,800
USC00080414,20150101,TMIN,217,800
USC00080414,20150101,TOBS,239,800
USC00080414,20150101,PRCP,0,800
USC00069162,20150101,TMAX,-11,
USC00069162,20150101,TMIN,-83,
USC00069162,20150101,TOBS,-50,
ML000061297,20150101,TMAX,295,
ML000061297,20150101,TMIN,145,
ML000061297,20150101,TAVG,222,
LG000026544,20150101,TMIN,3,
LG000026544,20150101,PRCP,3,
LG000026544,20150101,SNWD,51,
LG000026544,20150101,TAVG,17,
USC00053500,20150101,TMAX,-122,1630
USC00053500,20150101,TMIN,-278,1630
USC00053500,20150101,TOBS,-133,1630
USC00053500,20150101,PRCP,0,1630
USC00036768,20150101,TMAX,50,700
USC00036768,20150101,TMIN,-22,700
USC00036768,20150101,TOBS,17,700
USC00036768,20150101,PRCP,0,530
USC00036768,20150101,SNOW,0,
USC00036768,20150101,SNWD,0,
KZ000029807,20150101,TMAX,-30,
KZ000029807,20150101,SNWD,130,
KZ000029807,20150101,TAVG,-73,
USC00027281,20150101,TMAX,94,700
USC00027281,20150101,TMIN,0,700
USC00027281,20150101,TOBS,22,700
USC00027281,20150101,PRCP,163,700
USC00027281,20150101,EVAP,0,700
USC00027281,20150101,MNPN,39,
USC00027281,20150101,MXPN,67,
USC00031829,20150101,PRCP,0,700
USC00031829,20150101,SNOW,0,
USC00031829,20150101,SNWD,0,
JA000047624,20150101,TMAX,45,
JA000047624,20150101,TAVG,1,
KG000038353,20150101,TMAX,115,
KG000038353,20150101,TMIN,2,
KG000038353,20150101,TAVG,59,
JA000047616,20150101,TMAX,9,
JA000047616,20150101,PRCP,409,
JA000047616,20150101,SNWD,231,
JA000047616,20150101,TAVG,-2,
ITM00016252,20150101,TMIN,-44,
ITM00016252,20150101,PRCP,10,
ITM00016252,20150101,SNWD,450,
ITM00016252,20150101,TAVG,-12,
JA000047612,20150101,TMAX,17,
JA000047612,20150101,PRCP,191,
JA000047612,20150101,TAVG,-3,
BR001957002,20150101,TAVG,318,
USC00013575,20150101,TMAX,72,700
USC00013575,20150101,TMIN,6,700
USC00013575,20150101,TOBS,11,700
USC00013575,20150101,PRCP,0,700
USC00013575,20150101,SNOW,0,
USC00013575,20150101,SNWD,0,
US1WIKN0006,20150101,PRCP,0,
US1WIKN0006,20150101,SNOW,0,
US1WIKN0006,20150101,SNWD,0,
US1WIKN0006,20150101,WESF,0,
US1VTOG0007,20150101,PRCP,0,
US1VTOG0007,20150101,SNOW,0,
US1VTOG0007,20150101,SNWD,76,
US1VTCH0019,20150101,PRCP,0,
US1VTCH0019,20150101,SNOW,0,
US1VTCH0019,20150101,SNWD,13,
US1VARH0003,20150101,PRCP,0,
US1VARH0003,20150101,SNOW,0,
US1VARP0004,20150101,PRCP,0,
US1VARP0004,20150101,SNOW,0,
US1UTDV0025,20150101,PRCP,0,
US1UTDV0025,20150101,SNOW,0,
US1TXWM0044,20150101,PRCP,142,
US1TXWM0179,20150101,PRCP,102,
US1TXMRN002,20150101,PRCP,0,
US1TXMRN002,20150101,SNOW,0,
ASN00044212,20150101,PRCP,0,
US1TXHLL001,20150101,PRCP,38,
US1TXKN0077,20150101,PRCP,180,
ASN00044204,20150101,PRCP,56,
US1TXDN0036,20150101,PRCP,25,
US1TNMT0026,20150101,PRCP,0,
US1TNMT0026,20150101,SNOW,0,
US1TNRD0100,20150101,PRCP,0,
US1TNRD0100,20150101,SNOW,0,
US1TXBRT048,20150101,PRCP,5,
US1TXCML113,20150101,PRCP,33,
US1SCOC0030,20150101,PRCP,0,
US1SCOC0030,20150101,SNOW,0,
US1SCHR0065,20150101,PRCP,0,
US1SCHR0065,20150101,SNOW,0,
US1ORBN0021,20150101,PRCP,0,
US1ORBN0021,20150101,SNOW,0,
ASN00043029,20150101,PRCP,0,
US1ORLN0034,20150101,PRCP,0,
US1ORLN0034,20150101,SNOW,0,
US1ORCC0072,20150101,PRCP,0,
US1ORCC0072,20150101,SNOW,0,
GV000001832,20150101,TMIN,210,
GV000001832,20150101,TAVG,261,
US1OKGR0002,20150101,PRCP,0,
HUE00152450,20150101,TMAX,-44,
HUE00152450,20150101,TMIN,-137,
HUE00152450,20150101,PRCP,0,
BA000041150,20150101,TMAX,233,
BA000041150,20150101,TMIN,170,
BA000041150,20150101,TAVG,200,
US1OHMY0033,20150101,PRCP,0,
GME00129430,20150101,TMAX,25,
GME00129430,20150101,TMIN,0,
GME00129430,20150101,PRCP,0,
US1OHLS0022,20150101,PRCP,0,
US1OHLS0022,20150101,SNOW,0,
GME00125686,20150101,TMAX,13,
GME00125686,20150101,TMIN,-22,
GME00125686,20150101,PRCP,0,
GME00125686,20150101,SNWD,90,
GME00126490,20150101,TMAX,4,
GME00126490,20150101,TMIN,-19,
GME00126490,20150101,PRCP,0,
GME00126490,20150101,SNWD,170,
GME00124774,20150101,TMAX,-2,
GME00124774,20150101,TMIN,-99,
GME00124774,20150101,PRCP,0,
GME00124774,20150101,SNWD,340,
ASN00018090,20150101,PRCP,0,
FR000007630,20150101,TMAX,11,
FR000007630,20150101,TMIN,-47,
FR000007630,20150101,PRCP,0,
FR000007630,20150101,TAVG,-20,
GME00102292,20150101,TMAX,54,
GME00102292,20150101,TMIN,11,
GME00102292,20150101,PRCP,0,
GME00102292,20150101,SNWD,0,
GME00102292,20150101,TAVG,28,
ASN00018053,20150101,PRCP,0,
US1NMLN0008,20150101,PRCP,0,
US1NMLN0008,20150101,SNOW,0,
US1NMOT0051,20150101,PRCP,0,
US1NMOT0051,20150101,SNOW,0,
FIE00145157,20150101,TMAX,56,
FIE00145157,20150101,TMIN,33,
FIE00145157,20150101,PRCP,7,
FIE00143276,20150101,TMAX,34,
FIE00143276,20150101,TMIN,10,
FIE00143276,20150101,PRCP,18,
FIE00143570,20150101,TMAX,41,
FIE00143570,20150101,TMIN,11,
US1NJGL0001,20150101,PRCP,0,
US1NJGL0001,20150101,SNOW,0,
FI000002401,20150101,TMAX,36,
FI000002401,20150101,TMIN,16,
FI000002401,20150101,PRCP,15,
FI000002401,20150101,SNWD,170,
FI000002401,20150101,TAVG,25,
US1NDWL0002,20150101,PRCP,0,
US1NDWL0002,20150101,SNOW,0,
EN000026029,20150101,TMAX,59,
EN000026029,20150101,TMIN,27,
EN000026029,20150101,TAVG,39,
CY000176090,20150101,PRCP,51,
CY000176090,20150101,TAVG,143,
DA000021100,20150101,TMIN,63,
DA000021100,20150101,PRCP,49,
US1NCTR0002,20150101,PRCP,0,
US1NCTR0002,20150101,SNOW,0,
US1NCMC0007,20150101,PRCP,0,
US1NCMC0007,20150101,SNOW,0,
ASN00040934,20150101,PRCP,190,
CQC00914801,20150101,TMAX,289,800
CQC00914801,20150101,TMIN,250,800
CQC00914801,20150101,TOBS,261,800
CQC00914801,20150101,PRCP,0,800
